Código;Descripción;ves
CRTCTLA;libreta 150h espiral gde 6mat RD 2727;2430
7,59E+12;libreta 168h empastada 6mat A5 PQUEÑA;1560
PLTACRMC;libreta 200h empastada 8mat A4;4685
PP3;libreta-agenda 4mat A5 gruesa;2915
LA200F;libro 300 folios actas/contabilidad;6605
7,59E+12;libro 400 folios actas/contabilidad;9435
7,59E+12;libro 50 folios LICORES;2175
VLCMP;libro 500 folios actas/contabilidad;12685
CPCTO;libro El Principito;3630
1236I;libro lectura COQUITO/NACHO/ANGELITO ACT;1855
VPDV27;libro lectura inicial ANGELITO (E);1720
OC;libro lectura inicial KIKIRIKI;2680
LBRMIH;libro lectura inicial MI JARDIN (E);1270
SERDDMAC;libro PASITO A PASITO 1 (E);1920
7,59E+12;libro PASITO PASITO 2 y 3 (E);2575
JMPLO;libro Quien se ha llevado mi queso;5075
92;lienzo 25x15 con tripode;2345
VDRCILGR;lienzo 25X30 ARTISTICO sin marco;1675
GLTAK;lienzo 40X50 ARTISTICO sin marco;2785
OVJNCTO;liga p/billetes 50gr peq AMIKO;700
LL;lluvia peq;210
7,59E+12;lupa Pointer grande 75mm;1995
PCE;lupa Pointer pequeño 50mm;1370
BAMBMAZ;mantel plastico decorar 1.80x1.60cm;620
1616;maquillaje para niñas juego;1585
NY5;marabu 50 gr xmetro;1195
7,59E+12;marcador ACRILICO ICONO;205
BR25X30;marcador ACRILICO KEYROAD;490
PALMERA;marcador BOLSO 60 PC;4605
7,59E+12;marcador BOLSO 80 PC;5520
LPA;marcador escolar x12;750
BNQTOGDE;marcador escolar x24;2610
7,59E+12;marcador escolar x6;375
TTERBB;marcador fino blanco doble punta;370
MARCPO;marcador fino FALAIKE;205
7,45E+12;marcador fino metalizado X2;540
LBX;marcador fluorecente xl188 estuche x8;4325
BBLNMCO;marcador grueso x12 CRISVI FRUIT/SHARK;3985
MARKOR;marcador ICONO estuche  B202x24;2985
7,59E+12;marcador ICONO estuche  B203x36;4145
DW1043;marcador ICONO estuche  B204x48;5960
7,59E+12;marcador ICONO estuche 12x24 doble punta;2560
BLPT1K;marcador ICONO estuche 12x24D/punta BX12;2480
CRE;marcador ICONO estuche 18x36 doble punta;3830
DADO;marcador ICONO estuche 8x16 doble punta;1710
CR60;marcador lettering doble punta x18 605;2725
7,50E+12;marcador metaliz acrilico x12 1524/1525;4515
ANTERCXR;marcador metaliz plata/oro/blanco grueso;830
776657;marcador metalizado OUTLINE CRISVI x8;3855
CD;marcador permanente  ICONO;205
BINGCLB;marcador permanente SHARPIE 680;1515
SMA007;marcador permanente SHARPIE tank;1245
8,25E+11;marcador sello x12 678;1490
7,50E+12;memoria micro sdhc 16GB SANDISK 2.0 3.0;2710
LIMPAF;memoria micro sdhc 32GB SANDISK 3.0;3185
7,59E+12;metodo palmer N°1,2,3 y 4 peq E;160
A96;metodo palmer ROSETA (E);805
JGOCAMRA;mina ICONO 2mm Y TUBITO;265
LB18;minas AZUL HX 0.5;135
7,20E+12;minas FOSCA/POINTERx20 0,5/0,7mm;375
7,59E+12;morral escolar;5220
